quest_id,question
0,Nhật Bản đã tổ chức mấy kì Thế Vận hội mùa hè?
1,Liệt kê các ngày diễn ra các đợt tiến công của Quân đội Nhân dân Việt Nam trong chiến dịch Tây Bắc ?
2,Các tên gọi của Virus Corona?
3,Bộ phim Titanic được bao nhiêu đề cử và giành được bao nhiêu giải thưởng tại lễ trao giải Oscar năm 1998 ? 
4,Các kỹ xảo trong bộ phim truyền hình Tây du ký được thực hiện như thế nào?
5,Long An nổi tiếng với những sản phẩm nông nghiệp nào?
6,Có mấy cách phân vùng Mỹ Latinh?
7,Bàn cờ tướng được thiết kế như thế nào?
8,"Liệt kê các phiên bản lời nhạc tiếng Anh của bài nhạc ""A Time for Us"" ?"
9,Lá cờ đỏ sao vàng được Lê Quý Trinh sáng tạo ra đúng không?
10,Những bộ phim Cha Eun-woo đã tham gia?
11,Nhóm nhạc M-girls bao gồm những thành viên nào?
12,"Tính đến thời điểm hiện tại, người Korowai còn ăn thịt người không?"
13,Những thiệt hại trong quá trình xây dụng Cầu Québec?
14,Axel Munthe là ai?
15,Trí tuệ nhân tạo được hiểu là gì?
16,"Tính đến nay, Tập đoàn Võ Đường Ngọc Hòa bao gồm bao nhiêu công ty thành viên?"
17,Nguyên nhân của bệnh sốt phát ban do chuột là gì?
18,Hãy sơ lược diễn biến tình hình đại dịch COVID  ở Việt Nam theo dòng thời gian bắt đầu từ tháng 01 năm 2020 đến tháng 10 năm 2021? 
19,Ngày bầu cử tổng thống Hoa Kỳ được quy định như thế nào ?
20,Đã từng có người nào là Tổng thống Hoa Kỳ quá hai nhiệm kỳ chưa?
21,Ai là người viết và đọc Tuyên ngôn độc lập?
22,7SENSES được đào tạo như thế nào?
23,Mười hai con giáp có nguồn gốc từ đâu?
24,Tại sao Qatar được đăng cai tổ chức Cúp bóng đá châu Á 2023?
25,Ai là Chủ tịch nước đầu tiên của nước Cộng hòa Xã hội Chủ nghĩa Việt Nam?
26,Vị trí địa lý đã tạo những điều kiện thuận lợi gì cho Trung du miền núi Bắc Bộ phát triển?
27,Bộ phim truyền hình Tây du ký gồm bao nhiêu tập?
28,Gia đình của Lý Thái Tổ có những ai?
29,Quá trình phát triển của kênh VTV3?
30,Có những quy định gì về trang phục cho các thủ môn?
31,Hoàn cảnh ra đời Truyện Kiều của Nguyễn Du?
32,SEAP Games đầu tiên được tổ chức bao gồm các thành viên đến từ những quốc gia nào? 
33,Kể tên các bài toán của Giải Thiên niên kỷ do Viện Toán học Clay đề xuất vào năm 2000 ?
34,"Hãy liệt kê các chức vụ trong sự nghiệp chính trị của bà Nguyễn Thị Kim Ngân, nguyên chủ tich quốc hội nước Việt Nam ?"
35, Mặt nạ của Tutankhamun có kết cấu như thế nào?
36,"Vào năm 2019, Iphone XS là điện thoại di động bán chạy nhất năm trên toàn thế giới đúng không?"
37,Bosentan không được sử dụng cho những trường hợp nào?
38,Ý nghĩa của ba quy luật cơ bản của phép biện chứng duy vật là gì?
39,Giải vô địch bóng đá Đông Nam Á có những tên gọi gì?
40,Vụ cháy cửa hàng bách hóa Shirokiya dẫn đến sự thay đổi trang phục như thế nào?
41,Nữ thần Serket đã làm gì để bảo vệ con người?
42,Jane Lưu đã nổi tiếng nhờ vào công trình nghiên cứu nào?
43,Vùng Đông Nam bộ có bao nhiêu tỉnh thành?
44,Chủ tịch nước hay Tổng bí thư là lãnh đạo cao nhất đối với Quân đội nhân dân Việt Nam?
45,Nước nào là đối tác chiến lược toàn diện với Việt Nam đầu tiên?
46,Năm tôn giáo lớn nhất ở Việt Nam là gì? 
47, Đội tuyển bóng đá quốc gia Argentina đã vô địch mấy mùa World Cup?
48,Chương trình Đường lên đỉnh Olympia năm thứ 20 bao gồm những phần thi nào?
49,Xe Fiat 3000 đã từng tham gia vào những cuộc chiến đấu nào?
50,Vũ Phạm Hàm có phải là một con phố ở Hà Nội không?
51,Euro đã được tổ chức tại Pháp mấy lần?
52,Ai là người thiết kế Áo dài Trần Lệ Xuân?
53,Đồng bằng sông Hồng nằm ở khu vực nào?
54,Các dân tộc tại Việt Nam thường sinh sống ở đâu?
55,Các phi công đã mắc lỗi nghiêm trọng nào trong chuyến bay 427 của USAir?
56,Các mã cổ phiếu thuộc tập đoàn Vingroup là những mã nào?
57,Có mấy loại hãng hàng không?
58,Thúy Kiều có mấy anh chị em?
59,Các giải thưởng được tạo ra bởi Viện toán học Clay?
60,"Dựa theo số chiều, hình ảnh được chia làm mấy loại?"
61,"Tuyến đường đi qua huyện Mai Sơn, tỉnh Sơn La có tên gọi là gì ?"
62,Quijada đã làm gì khi quyết đổi tên thành Don Quijote de la Mancha?
63,Nguyên nhân dẫn tới tiêu dùng phô trương là gì?
64,Định nghĩa về thảo mộc?
65,Tháp Trump được thiết kế bởi ai?
66,Bài hát New Day for You có mấy MV?
67,"Năm 10 tuổi, diễn viên Bright đã học những loại nhạc cụ nào?"
68,Truyền thuyết của Lê Thái Tổ Lê Lợi về cửu vĩ hồ là gì?
69,Chương trình truyền hình thực tế Running Man có bao nhiêu phiên bản? 
70,Mục đích và đối tượng tham gia trong Hội nghị thành lập Đảng Cộng sản Việt Nam?
71,Quân hàm của Đại tướng Quân đội nhân dân Việt Nam được quy định như thế nào từ trước đến nay?
72,Thành phố trực thuộc trung ương tại Việt Nam là gì?
73,"Sau Nguyễn Văn Tố, ai là Chủ tịch quốc hội nước Việt Nam?"
74,Giáp Ngọ Niên bình Nam đồ do ai tạo ra?
75,Nguyên nhân của vụ hỏa hoạn Bảo tàng quốc gia Brasil là gì?
76,Tại sao ông Trần Văn Giàu phát biểu trong ngày 2-9-1945 tại Sài Gòn?
77,Cửu vĩ hồ được nhắc đến trong những tác phẩm nào của văn học Việt Nam?
78,truyện cổ tích Beauty and the Beast do ai sáng tác ?
79,Lễ vật của lễ dạm ngõ cần những gì?
80,Hội Việt Nam Cách mạng Thanh niên thành lập bao gồm những thành viên nào?
81,Bốn con rồng kinh tế châu Á là gì?
82,Mục đích của Ngày Quốc tế nam giới là gì?
83,Mục đích của việc xây dựng bản đồ hành trình khách hàng là gì?
84,Kể tên các di sản thế giới  được UNESCO công nhận ở Việt Nam ?
85,Tứ giác kinh tế trọng điểm là gì?
86,Các giai đoạn MCU gồm các bộ phim nào?
87,Negrenses là gì?
88,Cách tuyển chọn diễn viên cho bộ phim Chuyện nhà Mộc của đạo diễn Trần Lực có gì đặc biệt?
89,"Tại Nga, Ngày Kiến thức là ngày gì?"
90,"Ngoài Việt Nam, phim Bố già được công chiếu tại các quốc gia nào khác trên thế giới?"
91,Chế độ ăn uống có ảnh hưởng đến nguy cơ mắc bệnh ung thư không?
92,Bài hát Secrets đã được sử dụng trong các bộ phim nào?
93,Tại hồ Đồng Thái có những địa điểm du lịch nào?
94,Vị trí địa lý của đại lộ Norodom?
95,Trụ sở chính của NATO được đặt ở đâu?
96,Hoàn cảnh ra đời Truyện Kiều của Nguyễn Du?
97,Hãy liệt kê một số thể loại tiêu biểu của Văn học dân gian?
98,Ai đã tặng bộ sưu tập cho bảo tàng Stanisław Fischer ở Bochnia?
99,Cầu thủ đứng ở vị trí việt vị có bị coi là phạm luật và bị phạt không?
100,Đặc điểm khí hậu tại Hải Dương?
101,Huấn luyện là gì và do ai định nghĩa?
102,Các phương pháp được sử dụng trong Google dịch?
103,Ngày thành lập Quân đội nhân dân Việt Nam?
104,Cụm từ Made in China mang ý nghĩa gì?
105,Nguyên nhân của dị tật tim bẩm sinh là gì?
106,Văn học dân gian Việt Nam có những thể loại chính nào?
107,Google dịch được tạo ra nhằm mục đích gì?
108,Hãy kể tên và số lượng các quân cờ trong bộ môn Cờ tướng ?
109,Tại nhà hát Odéon đã từng xảy hỏa hoạn mấy lần?
110,Chương trình Trò chơi âm nhạc có mấy phiên bản khác nhau?
111,Mục đích xây dựng của Vạn Lý Trường Thành?
112,Đường cơ sở theo luật biển Việt Nam có tổng cộng bao nhiêu đoạn ?
113,Giải thưởng quả bóng vàng Châu Âu được tổ chức đầu tiên vào năm nào?
114,Cách tính chu vi hình bình hành?
115,Hãy sơ lược diễn biến trận chiến của Hồng Quân Liên Xô tấn công vào quân đội phát xít Đức diễn ra từ ngày 12 đến ngày 30 tháng 1 năm 1943 ?
116,Văn bản Lời kêu gọi toàn quốc kháng chiến được ai chỉnh sửa trước khi được Chủ tịch Hồ Chí Minh đọc?
117,Kháng chiến chống quân xâm lược Mông Nguyên diễn ra dưới bao nhiêu đời vua thời Trần ? Hãy kể tên các vị vua đó ?
118,Lễ phục của các thành viên vương thất trong lễ đăng quang của Elizabeth II được thiết kế như thế nào?
119,Những ảnh hưởng xấu của Covid-19 đối với kinh tế và người lao động tại Việt Nam là gì?
120,Trường Y Dược Hà Nội tổ chức kỳ thi nội trú đầu tiên vào năm nào và tại sao?
121,Ai là người nhận thẻ vàng nhanh nhất thế giới trong một trận đá bóng?
122,Nguyên nhân của vụ sập trần siêu thị Riga là gì?
123,"Trước khi được diễn ra  chính thức vào ngày 21 tháng 8 năm 2020, thì trân chung kết UEFA Europa League 2020 ban đầu dự kiến được diễn ra ở đâu ?"
124,Tại sao Chiến dịch Tia Lửa là một chiến dịch quan trọng về chiến lược đối với Liên Xô?
125,Đập Tam Hiệp nằm ở đâu?
126,Tôn Thất Tùng được sinh ra trong gia đình có bao nhiêu người con?
127,Bố già có phải là bộ phim đầu tiên của Việt Nam vượt mốc 5 triệu vé bán ra?
128,How to Dismantle an Atomic Bomb đã nhận được những giải thưởng nào?
129,"Ngoài Mỹ, những quốc gia nào sử dụng Đô la Mỹ là đơn vị tiền tệ chính thức?"
130,"Hiện nay, Sốt rét có được coi là một loại đại dịch không?"
131,Phần cuối cùng của bộ tiểu thuyết Harry Potter có tên là gì?
132,George Borrow đã mô tả xúc xích Glamorgan như thế nào?
133,Tại Trung du và miền núi Bắc Bộ có những nhà máy thủy điện lớn nào?
134,Am Rong đã du học ở đâu?
135,Tỉ số trận chung kết quần vợt đơn nam giải pháp mở rộng năm 2010 là bao nhiêu ?
136,"Vì sao tên ""Cầu than thở"" được đặt tên cho những cây cầu ở Ý?"
137,Quá trình phát triển của Trường Trung học phổ thông chuyên Nguyễn Thiện Thành?
138,GDP là gì?
139,Tôn Thất Tùng giữ chức thứ trưởng Bộ Y Tế trong khoảng thời gian nào?
140,Tàu Ever Given đã gặp sự cố gì ở Kênh Suez
141,Tại sao đến giữa thập niên 1960 thì trường phải chủ nghĩa tiền tệ mới được biết đến phổ biến hơn?
142, Đội tuyển bóng đá quốc gia Brasil đã có chiến thắng với những đội nào trong kỳ World Cup 2002?
143,Có những quyển Artbook nào về One Piece đã được phát hành?
144,Nước Anh có mấy quốc kỳ?
145,Tại sao sau Cách mạng tháng Tám những Kulak bị xử bắn?
146,Tại Việt Nam sách giáo khoa cho mỗi môn học có thể bao gồm nhiều bộ sách không?
147,Cách nhận biết bọ cạp giấm?
148,Ở Việt Nam có bao nhiêu loại đô thị?
149,Phim Bố già của Trấn Thành có những bài nhạc phim nào?
150,Môi trường sinh sống của cá leo là ở đâu?
151,Ông Võ Văn Thưởng theo học chuyên ngành đại học nào?
152,Các tên gọi của Đội Thiếu niên Tiền phong Hồ Chí Minh từ trước đến nay?
153,Có các loại đột biến sinh học nào? 
154,Đại học Truyền thông Trung Quốc thuộc dự án nào của Trung Quốc?
155,Có các phương pháp phóng vũ khí hạt nhân nào?
156,Hoa sữa có tác hại gì không?
157,Vì sao vào năm 1950 Phổ Nghi được quay trở lại Trung Quốc?
158,Đại học Trung Sơn đào tạo những ngành nào?
159,Khái niệm của động từ?
160,Tại Bắc Ninh có bao nhiêu Trạng nguyên và đứng thứ mấy trên cả nước?
161,Cầu thủ Steven Pienaar đã từng thi đấu tại giải Bóng đá Vô địch quốc gia Đức đúng không?
162,Ngày 5 tháng 6 năm 1911 là sự kiện đặc biệt gì của Việt Nam ?
163,Tại sao ông Lê Đức Thọ lại từ chối nhận giải Nobel Hòa Bình năm 1973?
164,Diễn viên chính trong sê-ri Deadwood là ai?
165,Tại sao Lucifer phản bội lại đức tin của mình?
166,Tại sao Hồ Chí Minh lại chọn ngày 2 tháng 9 năm 1945 là ngày ra mắt quốc dân?
167,Cuộc thi Hoa hậu Hoàn vũ lần thứ bao nhiêu được tổ chức tại Việt Nam ? 
168,"Từ trước đến nay, Quốc kỳ Pháp đã thay đổi như nào?"
169,Ô nhiễm môi trường là gì?
170,Trước khi ông Võ Văn Thưởng làm Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam thì ai giữ chức Chủ tịch nước?
171,"Ngoài nước lọc, loại nước nào được uống nhiều tại Mông Cổ?"
172,Cấp bậc Thượng tá bị bãi bỏ trong vòng bao nhiêu năm?
173,Nhiệm vụ của Quân chủng Phòng không – Không quân Việt Nam là gì?
174,Trong tiếng Việt có những loại danh từ nào?
175,Người dưới 9 tuổi có được tham gia trong Đội Thiếu niên Tiền Phong Hồ Chí Minh không?
176,Các cải cách nào dẫn đến việc thành lập Kinh tế thị trường định hướng xã hội?
177,Mục đích của Bảng xếp hạng bóng đá nam FIFA?
178,Có những quy định gì về biển xe cơ giới tại Việt Nam?
179,"Vở kịch ""Lời thề thứ chín"" được lấy cảm hứng từ đâu ?"
180,Ngày 5 tháng Năm âm lịch tại Việt Nam có những tên gọi gì?
181,Cù Thu Bạch giữ chức Tổng bí thư Đảng Cộng sản Trung Quốc trong bao nhiêu năm?
182,Hiện giờ đã tìm được nguồn gốc phát sinh của Virus corona chưa?
183,Hãy thông tin sơ lược về các ngọn núi của núi Non Nước ?
184,Giải vô địch bóng đá thế giới 2014 được tổ chức trên các sân vận động nào?
185,"Tại Trung Quốc, lì xì được sử dụng vào những thời gian nào?"
186,Chất cháy thường được sử dụng trong lĩnh vực nào?
187,"Đơn vị nào của quân đội nhân dân Việt Nam có nhiệm vụ quản lý, tổ chức, xây dựng và chỉ huy quân độii chiến đấu bảo vệ các tỉnh Bắc Trung Bộ?"
188,Lục Tiểu Linh Đồng có phải tên thật của diễn viên đóng Tôn Ngộ Không không?
189,Tại sao xã hội nguyên thủy kết thúc?
190,Mục đích của Đài Á Châu Tự Do là gì?
191,Nêu một số đặc điểm nổi bật của cuộc cách mạng công nghiệp diễn ra vào khoảng năm 1871 đến năm 1914? 
192,Ai là người khởi động xây dựng Vạn Lý Trường Thành?
193,Tác giả của Nam quốc sơn hà là ai?
194,Phim Mắt biếc có những diễn viên nào?
195,Các loại tính từ trong ngữ pháp tiếng Việt bao gồm những loại nào?
196,Đặc điểm ngoại hình của Tê giác trắng phương Bắc?
197,Rối loạn ám ảnh cưỡng chế có biểu hiện như thế nào?
198,Vì sao đội tuyển bóng đá quốc gia Brasil được giữ chiếc cúp Jules Rimet vĩnh viễn?
199,Các nước đang phát triển được định nghĩa như thế nào?
